datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs,fs_sqrt,air_temperature_outlier,number_of_rods_outlier,sonic_pressure_outlier,rotation_pressure_outlier,pullup_pressure_outlier,pulldown_pressure_outlier,inclination_x_outlier,inclination_y_outlier,flushing_pressure_outlier,flushing_debit_outlier,depth_raw_outlier,sonic_speed_outlier,rotation_speed_outlier,G_force_z_outlier,G_force_x_outlier,G_force_y_outlier,sonic_frequency_outlier,torque_outlier,penetration_speed_outlier,qc_outlier,fs_outlier,fs_sqrt_outlier,pull_diff,torque_per_rotation,g_total,energy_input,mechanical_stress,torque_to_penetration,pred_qc_rf,pred_qc_xgb,pred_fs_rf,pred_fs_xgb,pred_fs_sqrt_rf,pred_fs_sqrt_xgb
35:12.0,18.1,1,1,1,208.45,29.65,42.175,7.925,0.6,0.6,0.0,0.3,0.01,0.01,1532.03,7.36,0.438362,0.472931,0.466494,25.53383333333333,465.505,0.1025816378868182,1.01,0.92,0.959166304662544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,34.25,63.24795336304981,0.7958904609561545,319351.6535,13802.22325,4537.853671823124,1.4214569841269835,1.2824234,20.249933333333377,0.47711903,2.4058659861467095,1.0468464
35:12.1,18.1,1,1,1,211.35,29.675,40.375,7.4,0.0,0.6,0.0,0.3,0.02,0.02,1532.03,7.36,0.438362,0.472931,0.466494,25.53383333333333,465.8975,3.389830508474576,1.49,-1.08,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.975,63.30128216015187,0.7958904609561545,323794.5405,13825.5083125,137.439721955282,1.4214569841269835,1.2824234,6.705800000000026,-0.123093344,,
35:12.3,18.1,1,1,1,207.3,29.85,39.625,6.95,0.0,0.6,0.0,0.3,0.03,0.03,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,468.645,3.726708074534161,2.02,3.5,1.8708286933869709,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32.675,32.01126830524124,0.7958904609561545,585887.844,13989.05325,125.75304125626728,2.131504603174596,1.876993,6.227333333333348,2.6443584,4.019509133009106,3.3057086
35:12.4,18.1,1,1,1,195.55,30.225,38.7,6.75,0.0,0.6,0.0,0.319,0.04,0.04,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,474.5325,4.285714285714286,2.55,4.16,2.039607805437114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31.950000000000003,32.41341991711613,0.7958904609561545,552679.0540000001,14342.7448125,110.7242241643477,2.6175894444444405,2.636486,8.95466666666666,4.2625833,5.933220453896556,4.4294224
35:12.6,18.1,1,1,1,192.075,31.5,35.125,6.675,0.0,0.6,0.0,0.319,0.05,0.05,2826.28,14.64,0.438362,0.472931,0.466494,47.10466666666667,494.55,5.042016807,2.96,9.68,3.111269837220809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.45,33.78073539749075,0.7958904609561545,542857.731,15578.325,98.0857305409354,2.6175894444444405,2.636486,14.950399999999979,10.897926,9.440274744316449,9.516976
35:12.8,18.1,1,1,1,190.6,34.05,34.575,6.225,0.0,0.6,0.0,0.319,0.06,0.06,4266.86,14.64,0.456749,0.482051,0.475762,71.11433333333333,534.5849999999999,2.1818181818181803,3.25,16.38,4.047221268969612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.35,36.51536635824,0.8169102130870932,813263.516,18202.61925,245.01801270007763,3.3488162698412642,3.5173593,18.938000000000066,16.224972,19.0733821096195,16.07811
35:13.1,18.1,1,1,1,185.825,35.775,34.35,5.95,0.3,0.3,0.0,0.319,0.07,0.07,4266.86,14.64,0.456749,0.482051,0.475762,71.11433333333333,561.6674999999999,2.343750000000002,3.56,18.38,4.287190222045203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.4,38.36526377286449,0.8169102130870932,792889.2594999999,20093.6548125,239.64469775159532,3.3488162698412642,3.5173593,20.484200000000065,18.26585,20.694213774660145,18.759089
35:13.3,18.1,1,1,1,182.15,37.05,33.85,5.75,0.3,0.3,0.0,0.3,0.08,0.08,5688.81,14.64,0.456749,0.482051,0.475762,94.8135,581.685,2.4691358024691343,3.83,24.62,4.961854492022111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.1,39.73257925323912,0.8169102130870932,1036216.7415,21551.42925,235.5823295891566,3.816525555555559,3.9862406,26.402066666666634,24.54007,25.779252179435854,26.07777
35:13.7,18.1,1,1,1,182.025,37.8,33.75,5.525,0.8,0.3,0.0,0.3,0.09,0.09,7065.99,14.64,0.456749,0.482051,0.475762,117.7665,593.4599999999999,1.7191977077363887,3.98,28.46,5.334791467339656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.225,40.5368824769889,0.8169102130870932,1286186.82975,22432.788,345.19569921116846,4.081949126984124,4.1396275,29.78253333333333,28.765743,29.45802058159843,27.593346
35:13.9,18.1,1,1,1,179.6,40.75,34.75,5.4,0.8,-0.4,0.0,0.3,0.1,0.1,7065.99,14.29,0.456749,0.482051,0.475762,117.7665,639.775,2.620087336244544,4.1,34.8,5.89915248150105,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.35,44.770815621356505,0.8169102130870932,1269051.804,26070.83125,244.1806984710332,4.081949126984124,4.1396275,33.80873333333331,32.93511,33.73850225811231,32.414127
